Player,Season,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,S_R_H,S_R_W,cm_per_kg
Jordan Hamilton,2011-12,21,70,1835,366,852,218,459,148,393,132,186,106,296,402,126,58,35,124,107,1012,928,5.5,3.9,9.4,22.80120204,6.232976845,16.39655753,11.46175098,13.90119133,1.788862594,1.690127094,11.45370028,27.11496567,110.6356166,90.65701467,4.402797203,2.017948718,6.35959596,7.978201635,18.57220708,4.752043597,10.00544959,3.226158038,8.566757493,2.877384196,4.054495913,2.310626703,6.452316076,8.762942779,2.746594005,1.264305177,0.762942779,2.702997275,2.332425068,22.0599455,54.18487107,0.218309859,0.461267606,0.429577465,0.474945534,0.376590331,0.709677419,0.516431925,201,99,2.03030303
Jordan McRae,2015-16,24,114,3088,496,1190,317,668,179,522,350,455,75,296,371,209,73,97,225,218,1521,1393,7.7,4.4,12,29.69621224,4.918199482,18.15029255,11.46852386,20.75026565,2.514946869,7.114934245,21.80883628,45.70604308,167.2579372,159.8735856,4.319527202,2.085864912,6.369543668,6.424870466,15.41450777,4.106217617,8.652849741,2.31865285,6.761658031,4.533678756,5.893782383,0.971502591,3.834196891,4.805699482,2.707253886,0.945595855,1.256476684,2.914507772,2.823834197,19.70207254,54.70435909,0.382352941,0.438655462,0.416806723,0.474550898,0.342911877,0.769230769,0.492016807,196,90,2.177777778
Jordan Williams,2011-12,21,66,1890,339,642,339,642,0,0,195,349,215,457,672,28,47,77,84,170,873,818,4.9,4.5,9.3,15.01245224,8.716596489,16.41945878,12.74686922,1.607014056,1.029821989,2.607178391,6.355213319,14.5810305,76.92198218,61.47725481,0.49159044,0.761965181,1.253555621,7.174603175,13.58730159,7.174603175,13.58730159,0,0,4.126984127,7.386243386,4.55026455,9.671957672,14.22222222,0.592592593,0.994708995,1.62962963,1.777777778,3.597883598,18.47619048,54.86701192,0.543613707,0,0.528037383,0.528037383,0,0.558739255,0.528037383,208,117,1.777777778
Jorge Gutierrez,2013-14,25,96,2807,355,833,278,609,77,224,289,385,72,315,387,365,120,14,222,240,1076,1138,5.2,4.1,9.3,16.43534022,3.493801211,13.77648735,8.789811186,24.1646954,2.49433559,0.452012825,18.67338796,21.24260777,105.4998931,98.74937656,2.124118276,1.765906662,3.890024938,5.058781617,11.87032419,3.96152476,8.678304239,1.097256858,3.19201995,4.118275739,5.486284289,1.026006413,4.488778055,5.514784467,5.201282508,1.710010688,0.199501247,3.163519772,3.420021375,15.33309583,53.67118915,0.462184874,0.268907563,0.426170468,0.456486043,0.34375,0.750649351,0.472388956,190,88,2.159090909
Josh Harrellson,2011-12,22,60,1171,139,234,135,220,4,14,35,58,149,207,356,30,37,64,34,99,317,350,3.3,2.5,5.8,17.12083689,11.96302306,20.47224594,16.54508967,0.383262169,1.352604611,7.789581554,17.63637916,17.40170794,103.5024765,88.90059778,0.405807003,0.45089667,0.856703672,4.748078565,7.993168232,4.611443211,7.514944492,0.136635354,0.47822374,1.195559351,1.981212639,5.089666951,7.07087959,12.16054654,1.024765158,1.263877028,2.18616567,1.161400512,3.381725021,10.82835184,61.074291,0.247863248,0.05982906,0.594017094,0.613636364,0.285714286,0.603448276,0.602564103,208,124,1.677419355
Josh Richardson,2015-16,22,136,3842,458,1005,360,697,98,308,238,314,116,323,439,246,147,88,209,301,1252,1211,6.8,5.3,12.1,16.13630921,3.66405518,10.80937012,7.118662155,14.37727746,2.471082769,2.539953149,15.77550755,18.91821968,108.4468766,101.4704581,2.992373764,2.946642374,5.939016137,4.768349818,10.46330036,3.748047892,7.256637168,1.020301926,3.206663196,2.477876106,3.269130661,1.207704321,3.362831858,4.570536179,2.561166059,1.530452889,0.916189485,2.175950026,3.133784487,13.03487767,54.76048847,0.312437811,0.306467662,0.455721393,0.516499283,0.318181818,0.757961783,0.504477612,198,90,2.2
Josh Selby,2011-12,20,26,530,72,193,38,99,34,94,28,37,10,48,58,56,21,1,53,44,206,205,0.4,0.9,1.3,11.9,2.4,9.7,6.3,17.8,2.3,0.2,20.1,24.4,95.5,96.5,0.9,1.9,2.8,5.433962264,14.56603774,2.867924528,7.471698113,2.566037736,7.094339623,2.113207547,2.79245283,0.754716981,3.622641509,4.377358491,4.226415094,1.58490566,0.075471698,4,3.320754717,15.54716981,49.21636086,0.191709845,0.487046632,0.373056995,0.383838384,0.361702128,0.756756757,0.461139896,188,83,2.265060241
Julyan Stone,2011-12,23,68,2294,167,351,139,250,28,101,137,231,52,378,430,364,104,36,133,156,499,652,3.6,5.4,9,16.28234525,2.749607672,17.92659111,10.73809939,27.79463819,2.621229294,1.811508282,22.42022668,13.34603313,110.4142982,90.49027899,1.393853531,2.843461203,4.237314734,2.911944202,6.120313862,2.423714037,4.359197908,0.488230166,1.761115955,2.388840453,4.027898867,0.906713165,6.591107236,7.497820401,6.346992153,1.81342633,0.627724499,2.319093287,2.720139494,8.700959024,55.12106752,0.658119658,0.287749288,0.475783476,0.556,0.277227723,0.593073593,0.515669516,201,90,2.233333333
Justin Anderson,2015-16,22,98,2364,288,669,191,397,97,272,200,266,75,266,341,180,60,84,125,137,873,847,5.2,5.6,10.8,19.39568528,4.167301184,13.95528765,9.174323181,16.38011844,1.658714044,4.287732657,13.65638748,22.3571912,111.4147631,91.2641709,3.844923858,5.112309645,8.88785956,4.873096447,11.31979695,3.231810491,6.717428088,1.641285956,4.602368866,3.384094755,4.500846024,1.269035533,4.500846024,5.769881557,3.045685279,1.015228426,1.421319797,2.115059222,2.318104907,14.7715736,55.53152511,0.397608371,0.406576981,0.430493274,0.481108312,0.356617647,0.751879699,0.502989537,198,102,1.941176471
Justin Holiday,2012-13,23,69,1744,217,484,160,323,57,161,76,97,122,212,334,137,75,48,83,130,567,592,3.6,3,6.6,17.02861239,7.90733945,13.39696101,10.68050459,13.25063073,2.413417431,2.643291284,13.40303899,15.94202982,114.6303899,96.96582569,2.337729358,1.904816514,4.242545872,4.97706422,11.10091743,3.669724771,7.408256881,1.30733945,3.69266055,1.743119266,2.224770642,2.798165138,4.862385321,7.660550459,3.142201835,1.720183486,1.100917431,1.903669725,2.981651376,13.00458716,53.8277512,0.200413223,0.332644628,0.448347107,0.495356037,0.354037267,0.783505155,0.507231405,198,81,2.444444444
Justise Winslow,2015-16,19,39,1135,173,356,127,246,46,110,100,156,49,203,252,82,52,34,71,108,492,473,3.1,2.5,5.5,22.3,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,115.2,92.8,5.1,5.3,10.4,6.0969163,12.54625551,4.475770925,8.669603524,1.621145374,3.876651982,3.524229075,5.497797357,1.726872247,7.154185022,8.881057269,2.889867841,1.832599119,1.198237885,2.502202643,3.806167401,17.33920705,57.93142427,0.438202247,0.308988764,0.485955056,0.516260163,0.418181818,0.641025641,0.550561798,198,102,1.941176471
K.J. McDaniels,2014-15,21,94,2287,362,804,281,545,81,259,230,300,170,280,450,85,83,178,140,168,1035,975,5.6,5.1,10.6,22.23891561,10.90065588,12.41202449,11.70520332,6.648491474,2.328858767,7.955793616,11.62343682,23.86856143,108.1091823,95.14521207,2.319545256,4.101268037,6.387101006,6.331438566,14.06209007,4.914735461,9.532138172,1.416703105,4.529951902,4.02273721,5.247048535,2.973327503,4.8972453,7.870572803,1.486663752,1.451683428,3.113248798,2.44862265,2.93834718,18.10231745,55.28846154,0.373134328,0.322139303,0.450248756,0.51559633,0.312741313,0.766666667,0.500621891,198,90,2.2
Karl-Anthony Towns,2015-16,20,39,822,145,256,143,248,2,8,109,134,92,169,261,44,18,88,53,115,401,391,3.5,2.9,6.4,31.4,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,126.8,78.1,6.5,10.8,17.3,7.055961071,12.45742092,6.95863747,12.06812652,0.097323601,0.389294404,5.304136253,6.520681265,4.476885645,8.223844282,12.70072993,2.141119221,0.875912409,4.282238443,2.579075426,5.596107056,19.513382,63.65887732,0.5234375,0.03125,0.56640625,0.576612903,0.25,0.813432836,0.5703125,211,113,1.867256637
Kawhi Leonard,2011-12,20,70,2236,377,840,336,676,41,164,195,262,230,486,716,156,98,45,153,174,990,1015,6.1,5.7,11.8,24.92969589,12.58962433,24.9627907,18.95241503,14.42969589,2.747584973,2.233094812,13.82271914,26.02969589,111.0724508,88.34615385,2.044186047,2.725581395,4.769767442,6.744186047,15.02683363,6.010733453,12.09302326,0.733452594,2.933810376,3.488372093,4.686940966,4.114490161,8.694096601,12.80858676,2.790697674,1.75313059,0.805008945,2.737030411,3.112701252,17.71019678,51.81726824,0.311904762,0.195238095,0.448809524,0.49704142,0.25,0.744274809,0.473214286,201,102,1.970588235
Kay Felder,2016-17,21,101,3626,554,1300,411,885,143,415,514,625,67,369,436,788,164,19,350,287,1765,2024,11.1,2.6,13.6,20.99271925,2.092829564,12.20573635,7.051792609,42.4122449,2.509100938,0.570159956,19.33745174,25.7815775,111.4979592,110.0420298,3.83524545,-1.179481522,2.655763927,6.11141754,14.34087148,4.533921677,9.762824049,1.577495863,4.578047435,5.670159956,6.894649752,0.739106453,4.070601213,4.809707667,8.692774407,1.809156095,0.209597352,3.861003861,3.166023166,19.4704909,56.03174603,0.480769231,0.319230769,0.426153846,0.46440678,0.344578313,0.8224,0.481153846,175,81,2.160493827
Kelly Olynyk,2013-14,22,101,1735,338,569,313,494,25,75,202,285,152,309,461,107,52,46,140,197,903,851,6.6,3.6,10.3,27.00835735,11.12080692,20.44801153,16.02363112,13.09342939,1.790201729,3.099423631,16.71804035,24.94824207,119.4597695,92.65487032,5.02443804,2.804841499,7.829279539,7.792507205,13.11815562,7.216138329,11.38904899,0.576368876,1.729106628,4.657060519,6.570605187,3.504322767,7.123919308,10.62824207,2.46685879,1.198847262,1.060518732,3.227665706,4.541786744,20.8184438,65.02016129,0.500878735,0.131810193,0.594024605,0.633603239,0.333333333,0.70877193,0.61599297,213,107,1.990654206
Kelly Oubre,2015-16,20,36,756,110,248,76,153,34,95,79,110,41,138,179,28,41,13,43,71,333,303,1.7,1.7,3.4,21.1,6.4,19.2,13.2,8.1,3.3,1.8,12.5,23.1,112,92.6,4.8,3.7,8.6,5.82010582,13.12169312,4.021164021,8.095238095,1.798941799,5.026455026,4.17989418,5.82010582,2.169312169,7.301587302,9.470899471,1.481481481,2.169312169,0.687830688,2.275132275,3.756613757,17.61904762,56.17408907,0.443548387,0.383064516,0.443548387,0.496732026,0.357894737,0.718181818,0.512096774,201,90,2.233333333
Kemba Walker,2011-12,21,75,2740,468,1116,355,777,113,339,413,517,85,283,368,356,147,22,192,115,1462,1451,10,4.3,14.3,25.66244526,3.550510949,10.62627737,7.288394161,28.52423358,3.231058394,0.80580292,12.90751825,28.46824818,116.0013504,98.72525547,5.744014599,1.520474453,7.264489051,6.832116788,16.2919708,5.182481752,11.34306569,1.649635037,4.948905109,6.02919708,7.547445255,1.240875912,4.131386861,5.372262774,5.197080292,2.145985401,0.321167883,2.802919708,1.678832117,21.34306569,54.4109328,0.463261649,0.303763441,0.419354839,0.456885457,0.333333333,0.798839458,0.469982079,185,78,2.371794872
Kendall Marshall,2012-13,21,73,2101,181,406,133,275,48,131,113,163,12,159,171,581,83,9,193,106,523,732,3.7,3.3,7,15.78519753,0.613184198,7.786815802,4.256592099,42.60994764,2.226368396,0.386815802,28.70547358,14.97524988,108.1655402,98.2868158,2.724750119,1.079105188,3.803855307,3.445978106,7.729652546,2.532127558,5.235602094,0.913850547,2.494050452,2.151356497,3.10328415,0.228462637,3.027129938,3.255592575,11.06139933,1.580199905,0.171346978,3.674440743,2.018086625,9.957163256,54.73917776,0.401477833,0.322660099,0.445812808,0.483636364,0.366412214,0.693251534,0.504926108,193,88,2.193181818
Kenneth Faried,2011-12,22,70,2276,457,771,456,767,1,4,280,478,348,616,964,56,123,149,176,223,1195,1125,8.2,6.8,15,33.31089631,17.96977153,34.28506151,25.81370826,5.743760984,3.29314587,8.426010545,14.94516696,26.36994728,117.4203866,83.8397188,1.862917399,2.747803163,4.610720562,8.031634446,13.55008787,8.014059754,13.4797891,0.017574692,0.07029877,4.920913884,8.400702988,6.11599297,10.82601054,16.94200351,0.984182777,2.16168717,2.618629174,3.09314587,3.919156415,21.00175747,60.88737619,0.61997406,0.005188067,0.592736706,0.59452412,0.25,0.585774059,0.593385214,203,103,1.970873786
Kent Bazemore,2012-13,23,105,3110,455,1014,364,749,91,265,257,426,158,377,535,326,217,59,268,253,1258,1240,5.6,7.5,13,21.20299035,5.633344051,14.77864952,9.98,23.07755627,4.428006431,2.286688103,18.23758842,24.41733119,104.5873312,89.68909968,2.615241158,2.701125402,5.314501608,5.852090032,13.04180064,4.681672026,9.633440514,1.170418006,3.408360129,3.305466238,5.479099678,2.032154341,4.848874598,6.881028939,4.192926045,2.790996785,0.758842444,3.446945338,3.254019293,16.18006431,52.35384206,0.420118343,0.261341223,0.448717949,0.485981308,0.343396226,0.603286385,0.493589744,196,88,2.227272727
Kentavious Caldwell-Pope,2013-14,20,64,2114,338,814,189,375,149,439,188,250,82,310,392,96,123,28,100,139,1013,902,5.8,3.8,9.6,24.05288553,4.640397351,18.81996216,11.4897824,13.2987701,3.751371807,1.608230842,9.543897824,27.01173132,110.8371807,95.1820246,6.906244087,2.373320719,9.279564806,6.395458846,15.40208136,3.57615894,7.095553453,2.819299905,8.306527909,3.557237465,4.730368969,1.551561022,5.865657521,7.417218543,1.816461684,2.327341533,0.529801325,1.892147588,2.630085147,19.16745506,54.81601732,0.307125307,0.539312039,0.415233415,0.504,0.339407745,0.752,0.506756757,196,92,2.130434783
Kevin Jones,2012-13,23,104,3671,632,1281,525,946,107,335,230,332,384,494,878,119,63,86,118,176,1601,1465,12.5,4.9,17.3,41.96063743,19.88703351,32.83154454,25.75774993,12.57496595,1.7897848,4.458621629,12.08321983,37.65824026,207.4147371,166.6744484,8.509452465,2.223644783,10.63309725,6.886406974,13.95804958,5.720512122,10.30781803,1.165894852,3.650231545,2.50612912,3.617542904,4.184146009,5.382729502,9.566875511,1.296649414,0.686461455,0.937074367,1.285753201,1.917733588,17.44483792,56.09356168,0.259172521,0.261514442,0.493364559,0.554968288,0.319402985,0.692771084,0.535128806,203,117,1.735042735
Khris Middleton,2012-13,21,87,2263,340,789,248,502,92,287,209,272,131,265,396,175,87,17,173,187,981,956,4.8,4,8.8,18.862616,6.765709236,14.34012373,10.50508175,17.15351304,2.355148034,1.008307556,15.63875387,24.479673,107.0172338,96.31241715,2.480335837,1.423994697,3.904330535,6.009721608,13.94608926,4.383561644,8.873177198,1.626159965,5.072912064,3.694211224,4.807777287,2.315510384,4.684047724,6.999558109,3.093239063,1.537781706,0.30048608,3.05788776,3.305346885,17.33981441,53.97939869,0.344740177,0.363751584,0.430925222,0.494023904,0.320557491,0.768382353,0.489226869,201,98,2.051020408
Kim English,2012-13,24,103,2862,433,1015,235,519,198,496,259,356,75,293,368,162,132,24,197,199,1323,1186,6,4.1,10.1,17.39385045,2.946680643,12.03050314,7.460936408,10.77078966,2.707127883,0.912403913,14.60307477,24.17176799,107.0722921,99.10349406,2.509468903,0.737421384,3.287945493,6.051712089,14.185884,3.284416492,7.253668763,2.767295597,6.932215234,3.619846261,4.975541579,1.048218029,4.095038435,5.143256464,2.264150943,1.844863732,0.335429769,2.753319357,2.781271838,18.49056604,56.45932198,0.350738916,0.488669951,0.426600985,0.452793834,0.399193548,0.72752809,0.524137931,198,90,2.2
Klay Thompson,2011-12,21,65,2275,440,1036,266,581,174,455,288,351,62,275,337,197,100,54,219,174,1342,1250,6.2,3.3,9.4,23.45696703,3.377362637,13.74087912,8.703648352,20.02487912,2.592703297,2.685406593,15.45547253,31.86716484,107.6233846,100.1532308,3.275956044,1.541626374,4.865758242,7.736263736,18.21538462,4.676923077,10.21538462,3.059340659,8,5.063736264,6.171428571,1.09010989,4.835164835,5.925274725,3.463736264,1.758241758,0.949450549,3.850549451,3.059340659,23.5956044,56.36571352,0.338803089,0.439189189,0.424710425,0.457831325,0.382417582,0.820512821,0.508687259,198,90,2.2
Kris Dunn,2016-17,22,95,2997,424,943,351,737,73,206,293,423,106,380,486,552,208,38,315,280,1214,1349,5,5.8,10.8,19.03089756,4.358892226,15.08301635,9.585852519,37.44164164,3.873740407,1.274441108,22.82762763,22.62379046,101.7005672,96.09813146,3.654721388,4.621688355,8.272872873,5.658992326,12.58591925,4.684684685,9.83650317,0.974307641,2.749416083,3.910577244,5.645645646,1.414748081,5.071738405,6.486486486,7.367367367,2.776109443,0.507173841,4.204204204,3.737070404,16.20286954,53.75867933,0.448568399,0.21845175,0.449628844,0.476255088,0.354368932,0.692671395,0.488335101,190,92,2.065217391
Kyle Anderson,2014-15,21,71,2242,303,670,267,574,36,96,223,303,119,498,617,355,126,58,183,132,865,991,4.6,4.8,9.3,11.35197628,2.909090909,12.52667984,7.818577075,14.35256917,1.593083004,1.356126482,9.105237154,11.13280632,54.01788538,46.50839921,1.937450593,3.108300395,4.996245059,5.4058876,11.95361285,4.763603925,10.24085638,0.642283675,1.712756467,3.978590544,5.4058876,2.123104371,8.884924175,11.00802855,6.333630687,2.247992864,1.034790366,3.264942016,2.355040143,15.43264942,53.83906787,0.452238806,0.143283582,0.452238806,0.465156794,0.375,0.735973597,0.479104478,206,104,1.980769231
Kyle O'Quinn,2012-13,22,98,3024,548,978,511,816,37,162,310,449,301,687,988,110,59,258,227,325,1443,1367,8.6,5.5,14.1,25.57172619,11.57837302,25.14702381,18.49791667,8.174305556,1.08422619,8.607242063,15.98065476,22.66785714,114.2257937,96.41746032,1.408730159,1.997619048,3.406349206,7.248677249,12.93650794,6.759259259,10.79365079,0.489417989,2.142857143,4.100529101,5.939153439,3.981481481,9.087301587,13.06878307,1.455026455,0.78042328,3.412698413,3.002645503,4.298941799,19.08730159,61.37500425,0.459100204,0.165644172,0.560327198,0.62622549,0.228395062,0.690423163,0.579243354,208,108,1.925925926
Kyle Singler,2012-13,24,77,2722,447,1059,300,653,147,406,291,363,178,355,533,156,75,44,149,184,1332,1272,8.8,5.5,14.3,21.41734019,7.52755327,13.91418075,10.84724467,11.02049963,1.594489346,1.461425422,10.79448935,24.84173402,117.540191,94.10786187,2.42674504,1.160617193,3.587362234,6.568699486,15.5620867,4.408523145,9.595885378,2.160176341,5.966201323,4.27626745,5.334313005,2.615723733,5.216752388,7.832476121,2.292432035,1.102130786,0.646583395,2.189566495,2.703894195,19.57384276,54.64749902,0.342776204,0.383380548,0.422096317,0.45941807,0.362068966,0.801652893,0.491501416,203,104,1.951923077
Kyrie Irving,2011-12,19,11,303,55,104,37,65,18,39,64,71,6,31,37,47,16,6,27,23,192,189,1.8,0.6,2.4,32.5,2.3,10.6,6.7,29.8,3,1.8,16.4,26.4,135.1,92.7,10.8,3.5,14.3,7.260726073,13.72937294,4.884488449,8.580858086,2.376237624,5.148514851,8.448844884,9.372937294,0.792079208,4.092409241,4.884488449,6.204620462,2.112211221,0.792079208,3.564356436,3.03630363,25.34653465,70.98491571,0.682692308,0.375,0.528846154,0.569230769,0.461538462,0.901408451,0.615384615,188,81,2.320987654
Lamar Patterson,2015-16,24,149,3628,477,1097,306,634,171,463,285,394,173,415,588,427,146,44,244,276,1410,1435,9.4,6.1,15.4,17.84694046,7.343439912,13.49305402,10.27985116,21.80964719,2.480126792,1.45008269,17.36819184,19.59062845,111.490849,98.0766538,5.24991731,3.391620728,8.630485116,5.259095921,12.09481808,3.373759647,6.990077178,1.885336273,5.104740904,3.142227122,4.34399118,1.90738699,4.575523705,6.482910695,4.707828004,1.609702315,0.485115766,2.690187431,3.042998897,15.54575524,55.49607985,0.359161349,0.422060164,0.434822242,0.482649842,0.369330454,0.723350254,0.512762078,196,102,1.921568627
Lance Stephenson,2010-11,20,34,960,162,368,146,295,16,73,79,119,63,119,182,84,31,6,81,66,419,413,1.4,1.3,2.8,17.9,7.3,14,10.6,19.1,1.9,0.7,16,26.2,101.4,100.3,0,0,0,6.75,15.33333333,6.083333333,12.29166667,0.666666667,3.041666667,3.291666667,4.958333333,2.625,4.958333333,7.583333333,3.5,1.291666667,0.25,3.375,2.75,17.45833333,49.83823389,0.323369565,0.198369565,0.440217391,0.494915254,0.219178082,0.663865546,0.461956522,196,95,2.063157895
Lance Thomas,2011-12,23,40,1013,68,155,68,155,0,0,55,74,94,100,194,36,24,8,61,121,191,225,0.8,1.9,2.7,9.4,10.4,10.9,10.7,6,1.4,0.8,24.3,12.2,101.9,95.8,0,0,0,2.685093781,6.120434353,2.685093781,6.120434353,0,0,2.171767029,2.92201382,3.711747285,3.948667325,7.66041461,1.421520237,0.947680158,0.315893386,2.408687068,4.777887463,7.54195459,50.91703988,0.477419355,0,0.438709677,0.438709677,0,0.743243243,0.438709677,206,91,2.263736264
Landry Fields,2010-11,22,32,1161,248,506,219,420,29,86,179,257,81,199,280,89,51,25,83,65,704,673,4.2,1.8,6,28.9,7.9,20.6,14.1,19.5,2.6,2.3,11.7,31.5,113.7,99,0,0,0,8.544358312,17.4332472,7.545219638,14.47028424,0.999138674,2.962962963,6.16709733,8.854435831,2.790697674,6.856158484,9.646856158,3.066322136,1.757105943,0.861326443,2.85960379,2.239448751,24.25495263,56.85856432,0.507905138,0.169960474,0.490118577,0.521428571,0.337209302,0.696498054,0.518774704,201,98,2.051020408
Langston Galloway,2014-15,23,133,4720,657,1501,314,695,343,806,334,407,130,467,597,296,171,66,156,327,1991,1815,14.1,4.7,18.8,20.41091102,3.368898305,11.37815678,7.486165254,13.7734322,2.244067797,1.441758475,8.53625,21.02669492,121.3997458,104.9444915,6.034533898,0.023686441,6.058220339,5.56779661,12.72033898,2.661016949,5.889830508,2.906779661,6.830508475,2.830508475,3.449152542,1.101694915,3.957627119,5.059322034,2.508474576,1.449152542,0.559322034,1.322033898,2.771186441,16.87288136,59.2531308,0.271152565,0.53697535,0.437708195,0.451798561,0.425558313,0.820638821,0.551965356,188,91,2.065934066
Larry Drew,2014-15,24,93,2786,243,581,170,377,73,204,112,181,26,207,233,558,101,8,244,171,671,846,2.4,2.9,5.4,12.0775407,1.105741489,9.213707157,5.253299341,33.43211765,2.331407175,0.107442522,29.27210741,16.33939031,103.641448,108.1510051,0.664694712,2.035377215,2.644687864,3.488872936,8.341708543,2.440775305,5.412778177,1.048097631,2.928930366,1.608040201,2.598707825,0.373295047,2.972002872,3.345297918,8.011486001,1.450107681,0.114860014,3.503230438,2.455132807,9.633883704,50.78408816,0.311531842,0.351118761,0.418244406,0.450928382,0.357843137,0.61878453,0.481067126,188,81,2.320987654
Larry Sanders,2010-11,22,35,941,196,367,192,351,4,16,107,167,106,213,319,34,26,90,58,103,503,472,3.2,2.2,5.4,29.5,12.9,24.9,19,7.7,1.6,9.1,11.5,26.7,116.4,90.8,0,0,0,8.331562168,15.60042508,8.161530287,14.92029756,0.170031881,0.680127524,4.548352816,7.098831031,4.505844846,9.054197662,13.56004251,1.445270988,1.105207226,3.825717322,2.465462274,4.378320935,21.38150903,57.09680349,0.455040872,0.04359673,0.534059946,0.547008547,0.25,0.640718563,0.539509537,208,101,2.059405941
Lavoy Allen,2011-12,22,68,2326,325,640,315,600,10,40,124,187,212,446,658,158,42,111,107,153,784,820,5.4,5.6,11,21.80361135,10.85546002,21.96285469,16.51100602,14.27403267,1.144453998,4.985210662,12.8,19.33336199,113.6812554,89.9372313,0.577815993,2.552020636,3.177987962,5.588993981,11.00601892,5.417024936,10.31814273,0.171969046,0.687876182,2.132416165,3.215821152,3.645743766,7.669819433,11.3155632,2.71711092,0.722269991,1.908856406,1.840068788,2.631126397,13.48237317,54.27258127,0.2921875,0.0625,0.5078125,0.525,0.25,0.663101604,0.515625,206,102,2.019607843
Lazar Hayward,2010-11,24,34,1097,222,514,157,328,65,186,107,127,72,184,256,52,64,18,67,115,616,563,3.2,2.2,5.4,25.7,8.2,21.3,14.7,11.2,3.6,1.7,10.4,31.6,110.1,94.1,0,0,0,8.094804011,18.7420237,5.724703737,11.95989061,2.370100273,6.78213309,3.901549681,4.630811304,2.625341841,6.709206928,9.334548769,1.896080219,2.333637192,0.65633546,2.443026436,4.19325433,22.46125798,54.04646592,0.247081712,0.361867704,0.431906615,0.478658537,0.349462366,0.842519685,0.495136187,198,103,1.922330097
Lorenzo Brown,2013-14,23,101,3289,410,955,346,745,64,210,283,382,74,351,425,589,172,50,304,190,1167,1339,5.7,3.9,9.6,18.58549711,2.631377318,12.20212831,7.440255397,32.86196412,3.080054728,1.464396473,21.11726969,21.87449073,104.1821222,102.1270903,3.12201277,2.186013986,5.273700213,4.98631803,11.61447248,4.207965947,9.060504713,0.778352083,2.553967771,3.441775616,4.645788994,0.899969596,4.268774704,5.168744299,7.163271511,2.091821222,0.608087565,3.697172393,2.310732746,14.19276376,51.95533711,0.4,0.219895288,0.429319372,0.46442953,0.304761905,0.740837696,0.462827225,196,84,2.333333333
Luke Babbitt,2010-11,21,34,1260,251,502,209,401,42,101,199,217,70,233,303,72,35,27,81,87,743,697,5.4,1.3,6.7,27.7,6.6,19.4,13.4,11,1.6,1.9,11.8,26.8,124.1,104.3,0,0,0,7.968253968,15.93650794,6.634920635,12.73015873,1.333333333,3.206349206,6.317460317,6.888888889,2.222222222,7.396825397,9.619047619,2.285714286,1.111111111,0.857142857,2.571428571,2.761904762,23.58730159,62.17781348,0.432270916,0.201195219,0.5,0.521197007,0.415841584,0.917050691,0.541832669,206,99,2.080808081
Luke Harangody,2010-11,23,30,989,244,507,219,426,25,81,140,178,67,206,273,47,14,20,54,70,653,573,4,1,5.1,29.3,8.3,24.2,16.4,11.8,0.9,2.1,8.4,34.6,116,104,0,0,0,9.868554095,20.50556117,8.857431749,17.22952477,1.011122346,3.2760364,5.662285137,7.199191102,2.709807887,8.331648129,11.04145602,1.90091001,0.566228514,0.808897877,2.184024267,2.831142568,26.41051567,55.78145288,0.351084813,0.159763314,0.481262327,0.514084507,0.308641975,0.786516854,0.50591716,203,111,1.828828829
Maalik Wayns,2012-13,21,95,2464,379,919,285,596,94,323,339,400,46,206,252,323,87,3,223,217,1191,1194,6.4,2.2,8.6,19.10775162,2.143262987,9.78400974,5.894926948,29.18510552,2.082670455,0.120089286,16.76732955,26.85422078,109.518263,105.3433442,4.266355519,0.044196429,4.310551948,6.152597403,14.91883117,4.626623377,9.675324675,1.525974026,5.243506494,5.503246753,6.493506494,0.746753247,3.344155844,4.090909091,5.243506494,1.412337662,0.048701299,3.62012987,3.522727273,19.33441558,54.38356164,0.435255713,0.351468988,0.412404788,0.478187919,0.291021672,0.8475,0.463547334,188,83,2.265060241
Malachi Richardson,2016-17,21,37,1272,152,411,73,187,79,224,113,157,19,139,158,77,42,10,79,91,496,459,1.5,1.8,3.3,13.8,1.7,12.1,6.9,12.8,2,0.9,14,23.1,102.6,102.3,1.5,1.5,3,4.779874214,12.9245283,2.295597484,5.880503145,2.48427673,7.044025157,3.55345912,4.937106918,0.597484277,4.371069182,4.968553459,2.421383648,1.320754717,0.314465409,2.48427673,2.86163522,15.59748428,51.65805699,0.381995134,0.545012165,0.369829684,0.390374332,0.352678571,0.719745223,0.46593674,198,88,2.25
